Riding	Candidate	Party
Durham	"Conlin, Patricia"	People's Party - PPC
Durham	"Giancroce, Jonathan"	Liberal
Durham	"O'Toole, Erin"	Conservative
Durham	"Patch, Kurdil-Telt"	Independent
Durham	"Smith, Adam"	Parti Rhinocéros Party
Eglinton–Lawrence	"Frydman, Eric"	Green Party
Eglinton–Lawrence	"Gleeson, Timothy"	People's Party - PPC
Eglinton–Lawrence	"Mendicino, Marco"	Liberal
Eglinton–Lawrence	"Pollock, Geoff"	Conservative
Eglinton–Lawrence	"Senneker, CALEB"	NDP-New Democratic Party
Elgin–Middlesex–London	"Ajibowu, Afeez"	Liberal
Elgin–Middlesex–London	"Cody, Katelyn"	NDP-New Democratic Party
Elgin–Middlesex–London	"Hillier, Chelsea"	People's Party - PPC
Elgin–Middlesex–London	"Hopkins, Michael"	Christian Heritage Party
Elgin–Middlesex–London	"Stark, Amanda"	Green Party
Elgin–Middlesex–London	"Vecchio, Karen"	Conservative
Essex	"Charron-Rowberry, Beth"	People's Party - PPC
Essex	"Festeryga, Audrey"	Liberal
Essex	"George, Andrew"	Independent
Essex	"Lewis, Chris"	Conservative
Essex	"Palko, Jeremy"	Christian Heritage Party
Essex	"Pancheshan, Nancy"	Green Party
Essex	"Ramsey, Tracey"	NDP-New Democratic Party
Etobicoke Centre	"Baker, Yvan"	Liberal
Etobicoke Centre	"Cormier, Maurice"	People's Party - PPC
Etobicoke Centre	"Da Silva, Ashley"	NDP-New Democratic Party
Etobicoke Centre	"Turner, Geoffrey"	Conservative
Etobicoke–Lakeshore	"Bains, Indira"	Conservative
Etobicoke–Lakeshore	"Carson, Sean"	Parti Rhinocéros Party
Etobicoke–Lakeshore	"Di Carlo, Anna"	Marxist-Leninist
Etobicoke–Lakeshore	"Elue, Afam"	Green Party
Etobicoke–Lakeshore	"Kane, Sasha"	NDP-New Democratic Party
Etobicoke–Lakeshore	"Maloney, James"	Liberal
Etobicoke–Lakeshore	"McLachlan, Bill"	People's Party - PPC
Etobicoke North	"Boutsikakis, Jim"	People's Party - PPC
Etobicoke North	"Duncan, Kirsty"	Liberal
Etobicoke North	"Lamba, Priti"	Conservative
Etobicoke North	"Peter, Cecil"	NDP-New Democratic Party
Etobicoke North	"Royer, Carol"	Independent
Flamborough–Glanbrook	"Hatch, Thomas"	Green Party
Flamborough–Glanbrook	"Muys, Dan"	Conservative
Flamborough–Glanbrook	"Newick, Lorne"	NDP-New Democratic Party
Flamborough–Glanbrook	"Panchyshyn, Bill"	People's Party - PPC
Flamborough–Glanbrook	"Sgro, Vito"	Liberal
Glengarry–Prescott–Russell	"Austring, Brennan"	People's Party - PPC
Glengarry–Prescott–Russell	"Bisaillon, Marc"	Free Party Canada
Glengarry–Prescott–Russell	"Drouin, Francis"	Liberal
Glengarry–Prescott–Russell	"Joker, The"	Independent
Glengarry–Prescott–Russell	"Lapierre, Daniel"	Green Party
Glengarry–Prescott–Russell	"Malakos, Konstantine"	NDP-New Democratic Party
Glengarry–Prescott–Russell	"McArthur, Susan"	Conservative
Guelph	"Bowman, Michelle"	Green Party
Guelph	"Dineen, Tristan"	Communist
Guelph	"Jahangir, Aisha"	NDP-New Democratic Party
Guelph	"Leier, Joshua"	People's Party - PPC
Guelph	"Levenson, Karen"	Animal Protection Party
Guelph	"Longfield, Lloyd"	Liberal
Guelph	"Sachan, Ashish"	Conservative
Haldimand–Norfolk	"Gilpin, Ken"	People's Party - PPC
Haldimand–Norfolk	"Lewis, Leslyn"	Conservative
Haldimand–Norfolk	"Lugosi, Charles"	Christian Heritage Party
Haldimand–Norfolk	"Matthews, Karen"	Liberal
Haldimand–Norfolk	"McMorrow, George"	VCP
Haldimand–Norfolk	"Piironen, Meghan"	NDP-New Democratic Party
Haliburton–Kawartha Lakes–Brock	"Balfour, Gene"	Libertarian
Haliburton–Kawartha Lakes–Brock	"Davidson, Alison"	People's Party - PPC
Haliburton–Kawartha Lakes–Brock	"Forbes, Judi"	Liberal
Haliburton–Kawartha Lakes–Brock	"Godsoe, Angel"	Green Party
Haliburton–Kawartha Lakes–Brock	"Miller, Zac"	NDP-New Democratic Party
Haliburton–Kawartha Lakes–Brock	"Schmale, Jamie"	Conservative
Hamilton Centre	"Barber, Kevin"	People's Party - PPC
Hamilton Centre	"Bennett, Margaret"	Liberal
Hamilton Centre	"Cheriyan, Nigel"	Communist
Hamilton Centre	"Green, Matthew"	NDP-New Democratic Party
Hamilton Centre	"Grenning, Fabian"	Conservative
Hamilton Centre	"Weinstein, Avra Caroline"	Green Party
Hamilton Centre	"Yan, Nathalie Xian Yi"	Independent
Hamilton East–Stoney Creek	"Collins, Chad"	Liberal
Hamilton East–Stoney Creek	"Kuruc, Ned"	Conservative
Hamilton East–Stoney Creek	"Milanovic, Nick"	NDP-New Democratic Party
Hamilton East–Stoney Creek	"Pattison, Larry"	Green Party
Hamilton East–Stoney Creek	"Ricci, Mario"	People's Party - PPC
Hamilton Mountain	"Allen, Malcolm"	NDP-New Democratic Party
Hamilton Mountain	"Enos, Jim"	Christian Heritage Party
Hamilton Mountain	"Hepfner, Lisa"	Liberal
Hamilton Mountain	"Miles, Al"	Conservative
Hamilton Mountain	"Taylor, Chelsey"	People's Party - PPC
Hamilton Mountain	"Urquhart, Dave"	Green Party
Hamilton West–Ancaster–Dundas	"Galea, Victoria"	Green Party
Hamilton West–Ancaster–Dundas	"Henriquez, Roberto"	NDP-New Democratic Party
Hamilton West–Ancaster–Dundas	"Laranjo, Bert"	Conservative
Hamilton West–Ancaster–Dundas	"Rocchi, Spencer"	Parti Rhinocéros Party
Hamilton West–Ancaster–Dundas	"Tassi, Filomena"	Liberal
Hamilton West–Ancaster–Dundas	"Woods, Dean"	People's Party - PPC
Hastings–Lennox And Addington	"Babcock, James"	People's Party - PPC
Hastings–Lennox And Addington	"Bossio, Mike"	Liberal
Hastings–Lennox And Addington	"Debues, Matilda"	NDP-New Democratic Party
Hastings–Lennox And Addington	"Kramp-Neuman, Shelby"	Conservative
Hastings–Lennox And Addington	"Sloan, Jennifer"	Independent
Hastings–Lennox And Addington	"Wilson, Reg"	Green Party
Huron–Bruce	"Johnstone, Jan"	NDP-New Democratic Party
Huron–Bruce	"Lobb, Ben"	Conservative
Huron–Bruce	"Rice, James"	Liberal
Huron–Bruce	"Smith, Justin L"	Independent
Huron–Bruce	"Stecho, Jack"	People's Party - PPC
Kanata–Carleton	"Coenraad, Melissa"	NDP-New Democratic Party
Kanata–Carleton	"McAndrew, Jennifer"	Conservative
Kanata–Carleton	"Miller, Scott"	People's Party - PPC
Kanata–Carleton	"Purdy, Jennifer"	Green Party
Kanata–Carleton	"Sudds, Jenna"	Liberal
Kenora	"Bruno, David"	Liberal
Kenora	"Martin, Craig"	People's Party - PPC
Kenora	"Melillo, Eric"	Conservative
Kenora	"Rheault, Remi"	Green Party
Kenora	"Seymour, Janine"	NDP-New Democratic Party
King–Vaughan	"Herod, Roberta"	Green Party
King–Vaughan	"Lozano, Sandra"	NDP-New Democratic Party
King–Vaughan	"Oprisan, Gilmar"	People's Party - PPC
King–Vaughan	"Roberts, Anna"	Conservative
King–Vaughan	"Schulte, Deb"	Liberal
Kingston And The Islands	"Gerretsen, Mark"	Liberal
Kingston And The Islands	"Khan, Waji"	Green Party
Kingston And The Islands	"Oosterhof, Gary"	Conservative
Kingston And The Islands	"Sahai, Vic"	NDP-New Democratic Party
Kingston And The Islands	"Sayle-Udall, Shelley"	People's Party - PPC
Kitchener Centre	"Boskovic, Diane"	People's Party - PPC
Kitchener Centre	"Henein Thorn, Mary"	Conservative
Kitchener Centre	"Morrice, Mike"	Green Party
Kitchener Centre	"Papenburg, Ellen"	Animal Protection Party
Kitchener Centre	"Saini, Raj"	Liberal
Kitchener Centre	"Zubi, Beisan"	NDP-New Democratic Party
Kitchener–Conestoga	"Bradley, Owen"	Green Party
Kitchener–Conestoga	"Dupuis, Kevin"	People's Party - PPC
Kitchener–Conestoga	"Hawley, Carlene"	Conservative
Kitchener–Conestoga	"Louis, Tim"	Liberal
Kitchener–Conestoga	"Sookram, Narine Dat"	NDP-New Democratic Party
Kitchener South–Hespeler	"Arangath, Suresh"	NDP-New Democratic Party
Kitchener South–Hespeler	"Baetz, Elaine"	Marxist-Leninist
Kitchener South–Hespeler	"Baumgaertner, Melissa"	People's Party - PPC
Kitchener South–Hespeler	"Bradford, Valerie"	Liberal
Kitchener South–Hespeler	"Calver, Tyler"	Conservative
Kitchener South–Hespeler	"Davis, Stephen"	Parti Rhinocéros Party
Kitchener South–Hespeler	"Morrison, C.A."	Independent
Kitchener South–Hespeler	"Rose, Gabe"	Green Party
Lambton–Kent–Middlesex	"Henry, Jason"	NDP-New Democratic Party
Lambton–Kent–Middlesex	"Hull, Jeremy"	Green Party
Lambton–Kent–Middlesex	"Mitchell, Kevin"	People's Party - PPC
Lambton–Kent–Middlesex	"Ranade, Sudit"	Liberal
Lambton–Kent–Middlesex	"Rood, Lianne"	Conservative
Lanark–Frontenac–Kingston	"Bors, Florian"	People's Party - PPC
Lanark–Frontenac–Kingston	"Foxton, Michelle"	Liberal
Lanark–Frontenac–Kingston	"Garrison, Steve"	NDP-New Democratic Party
Lanark–Frontenac–Kingston	"Hamilton, Blake"	Parti Rhinocéros Party
Lanark–Frontenac–Kingston	"Neufeld, Calvin"	Green Party
Lanark–Frontenac–Kingston	"Reid, Scott"	Conservative
– Leeds–Grenville–Thousand Islands and Rideau Lakes	"Abbott, Roberta L"	Liberal
– Leeds–Grenville–Thousand Islands and Rideau Lakes	"Barrett, Michael"	Conservative
– Leeds–Grenville–Thousand Islands and Rideau Lakes	"Cassell, Alex"	People's Party - PPC
– Leeds–Grenville–Thousand Islands and Rideau Lakes	"Rekmans, Lorraine"	Green Party
– Leeds–Grenville–Thousand Islands and Rideau Lakes	"Taylor, Michelle"	NDP-New Democratic Party
London–Fanshawe	"Free, Kyle"	People's Party - PPC
London–Fanshawe	"Hammoud, Mohamed"	Liberal
London–Fanshawe	"Mathyssen, Lindsay"	NDP-New Democratic Party
London–Fanshawe	"Vanderley, Mattias"	Conservative
London North Centre	"Emery, Marc"	People's Party - PPC
London North Centre	"Fragiskatos, Peter"	Liberal
London North Centre	"Gallant, Stephen"	Conservative
London North Centre	"Hodge, Mary Ann"	Green Party
London North Centre	"Prout, Dirka"	NDP-New Democratic Party
London West	"Boudreau, Jacques Y"	Libertarian
London West	"Flack, Rob"	Conservative
London West	"Kayabaga, Arielle"	Liberal
London West	"Lewkowitz, Shawna"	NDP-New Democratic Party
London West	"McMullen, Mike"	People's Party - PPC
Markham–Stouffville	"Baig, Uzair"	Green Party
Markham–Stouffville	"De Vries, René"	People's Party - PPC
Markham–Stouffville	"Jaczek, Helena"	Liberal
Markham–Stouffville	"Sahi, Muhammad Ahsin"	NDP-New Democratic Party
Markham–Stouffville	"Smith, Ben"	Conservative
Markham–Thornhill	"Felian, Melissa"	Conservative
Markham–Thornhill	"Lee, Mimi"	Green Party
Markham–Thornhill	"Ng, Mary"	Liberal
Markham–Thornhill	"Pashaev, Ilia"	People's Party - PPC
Markham–Thornhill	"Sahbaz, Paul"	NDP-New Democratic Party
Markham–Unionville	"Chiang, Paul"	Liberal
Markham–Unionville	"Kao, Elvin"	Green Party
Markham–Unionville	"Qureshi, Aftab"	NDP-New Democratic Party
Markham–Unionville	"Saroya, Bob"	Conservative
Milton	"Akbar, Nadeem"	Conservative
Milton	"Haddad, Shibli"	People's Party - PPC
Milton	"Kowalchuk, Chris"	Green Party
Milton	"Sahi, Muhammad Riaz"	NDP-New Democratic Party
Milton	"Van Koeverden, Adam"	Liberal
Mississauga Centre	"Alghabra, Omar"	Liberal
Mississauga Centre	"Diab, Elie"	People's Party - PPC
Mississauga Centre	"Laferriere, Craig"	Green Party
Mississauga Centre	"Samuel, Teneshia"	NDP-New Democratic Party
Mississauga Centre	"Zhao, Kathy-Ying"	Conservative
Mississauga East–Cooksville	"Adamu, Grace"	Conservative
Mississauga East–Cooksville	"Elliott, Gord"	Independent
Mississauga East–Cooksville	"Fonseca, Peter"	Liberal
Mississauga East–Cooksville	"Sullivan, Dagmar"	Marxist-Leninist
Mississauga East–Cooksville	"Takacs, Tom"	NDP-New Democratic Party
Mississauga East–Cooksville	"Westover, Joseph"	People's Party - PPC
Mississauga–Erin Mills	"Bayer, Michael"	People's Party - PPC
Mississauga–Erin Mills	"Desilva, Ewan"	Green Party
Mississauga–Erin Mills	"Khalid, Iqra"	Liberal
Mississauga–Erin Mills	"Nguyen, James"	Conservative
Mississauga–Erin Mills	"Usman, Kaukab"	NDP-New Democratic Party
Mississauga–Lakeshore	"Ras, Michael"	Conservative
Mississauga–Lakeshore	"Robertson, Elizabeth"	Green Party
Mississauga–Lakeshore	"Seyfaie, Vahid"	People's Party - PPC
Mississauga–Lakeshore	"Spengemann, Sven"	Liberal
Mississauga–Lakeshore	"Tahk, Kayleigh"	Parti Rhinocéros Party
Mississauga–Lakeshore	"Walji, Sarah"	NDP-New Democratic Party
Mississauga–Malton	"Ahmed, Waseem"	NDP-New Democratic Party
Mississauga–Malton	"Chilelli, Frank"	Marxist-Leninist
Mississauga–Malton	"Davidson, Mark"	Green Party
Mississauga–Malton	"Gaheer, Iqwinder"	Liberal
Mississauga–Malton	"Roach, Clyde"	Conservative
Mississauga–Streetsville	"Hassan, Farina"	NDP-New Democratic Party
Mississauga–Streetsville	"Hill, Chris"	Green Party
Mississauga–Streetsville	"Rattan, Jasveen"	Conservative
Mississauga–Streetsville	"Spizzirri, Natalie"	Animal Protection Party
Mississauga–Streetsville	"Valdez, Rechie"	Liberal
Mississauga–Streetsville	"Wolosz, Gurdeep"	People's Party - PPC
Nepean	"Arya, Chandra"	Liberal
Nepean	"Devine, Sean"	NDP-New Democratic Party
Nepean	"Kubanek, Gordon"	Green Party
Nepean	"Nera, Jay"	People's Party - PPC
Nepean	"Triemstra, Matt"	Conservative
Newmarket–Aurora	"Baxter, Dorian"	Independent
Newmarket–Aurora	"Flemming, Tim"	Green Party
Newmarket–Aurora	"Gagnon, Andre"	People's Party - PPC
Newmarket–Aurora	"Kelly, Yvonne"	NDP-New Democratic Party
Newmarket–Aurora	"Kim, Harold"	Conservative
Newmarket–Aurora	"Van Bynen, Tony"	Liberal
Niagara Centre	"Badawey, Vance"	Liberal
Niagara Centre	"Kimmons, Michael"	People's Party - PPC
Niagara Centre	"McCartney, Kurtis"	Green Party
Niagara Centre	"McGlashan, Melissa"	NDP-New Democratic Party
Niagara Centre	"Speck, Graham"	Conservative
Niagara Falls	"Baldinelli, Tony"	Conservative
Niagara Falls	"Barker, Brian"	NDP-New Democratic Party
Niagara Falls	"Holm, Melanie"	Green Party
Niagara Falls	"Kaiser, Andrea"	Liberal
Niagara Falls	"Taras, Peter"	People's Party - PPC
Niagara West	"Allison, Dean"	Conservative
Niagara West	"Bingham, Ian"	Liberal
Niagara West	"Derkson, Shaunalee"	People's Party - PPC
Niagara West	"Jonker, Harold"	Christian Heritage Party
Niagara West	"Kocsis, Joanna"	Green Party
Niagara West	"Rahman, Nameer"	NDP-New Democratic Party
Nickel Belt	"Chénier, Andréane Simone"	NDP-New Democratic Party
Nickel Belt	"Gravelle, Craig"	Green Party
Nickel Belt	"Hobbs, David"	People's Party - PPC
Nickel Belt	"Humphrey, Charles"	Conservative
Nickel Belt	"Serré, Marc G"	Liberal
Nipissing–Timiskaming	"Galante, Gregory J"	People's Party - PPC
Nipissing–Timiskaming	"Robertson, Scott"	NDP-New Democratic Party
Nipissing–Timiskaming	"Rota, Anthony"	Liberal
Nipissing–Timiskaming	"Trahan, Steven"	Conservative
Northumberland–Peterborough South	"Lang, Nathan"	People's Party - PPC
Northumberland–Peterborough South	"Lawrence, Philip"	Conservative
Northumberland–Peterborough South	"Lester, Alison"	Liberal
Northumberland–Peterborough South	"McArthur-Jackson, Kim"	NDP-New Democratic Party
Northumberland–Peterborough South	"Wilson, Christina"	Green Party
Oakville	"Adamo, Jerome"	NDP-New Democratic Party
Oakville	"Anand, Anita"	Liberal
Oakville	"Colborne, Kerry"	Conservative
Oakville	"Knox, Oriana"	Green Party
Oakville	"Meaney, JD"	People's Party - PPC
Oakville North–Burlington	"Damoff, Pam"	Liberal
Oakville North–Burlington	"Dupuis, Lenaee"	NDP-New Democratic Party
Oakville North–Burlington	"Jubinville, Gilbert"	People's Party - PPC
Oakville North–Burlington	"Rizkalla, Hanan"	Conservative
Oakville North–Burlington	"Sousa, Bruno"	Green Party
Oshawa	"Carrie, Colin"	Conservative
Oshawa	"Hossain, Afroza"	Liberal
Oshawa	"MacKie, Darryl"	People's Party - PPC
Oshawa	"Mir, Sonny"	Green Party
Oshawa	"Panylo, Shailene"	NDP-New Democratic Party
Ottawa Centre	"Bertrand, Shelby"	Animal Protection Party
Ottawa Centre	"Clemenhagen, Carol"	Conservative
Ottawa Centre	"Joyal, Richard ""Rich"""	Independent
Ottawa Centre	"Keller-Herzog, Angela"	Green Party
Ottawa Centre	"MacEwen, Angella"	NDP-New Democratic Party
Ottawa Centre	"McDonald, Alex"	Communist
Ottawa Centre	"Naqvi, Yasir"	Liberal
Ottawa Centre	"Watteel, Regina"	People's Party - PPC
Orléans	"Cléroux, André Junior"	Free Party Canada
Orléans	"Hartnett, Michael"	Green Party
Orléans	"Joanis, Jessica"	NDP-New Democratic Party
Orléans	"Lalonde, Marie-France"	Liberal
Orléans	"Oklobdzija, Spencer"	People's Party - PPC
Orléans	"Wolfe, Mary-Elsie"	Conservative
Ottawa South	"Hall, Chylow"	People's Party - PPC
Ottawa South	"McGuinty, David"	Liberal
Ottawa South	"Mukbil, Huda"	NDP-New Democratic Party
Ottawa South	"Schram, Les"	Green Party
Ottawa South	"Tannis, Eli"	Conservative
Ottawa South	"Wasslen, Larry"	Communist
Ottawa–Vanier	"Bourguignon, Crystelle"	Free Party Canada
Ottawa–Vanier	"Desgranges, Jean-Jacques"	People's Party - PPC
Ottawa–Vanier	"Elford, Daniel"	Libertarian
Ottawa–Vanier	"Fortier, Mona"	Liberal
Ottawa–Vanier	"Inamuco, Lyse-Pascale"	NDP-New Democratic Party
Ottawa–Vanier	"Jensen, Heidi"	Conservative
Ottawa–Vanier	"Leriche, Marie-Chantal TaiEl"	Independent
Ottawa–Vanier	"Proulx, Christian"	Green Party
Ottawa West–Nepean	"Hameed, Yavar"	NDP-New Democratic Party
Ottawa West–Nepean	"Jennekens, Jennifer"	Conservative
Ottawa West–Nepean	"Mulligan, Sean"	Christian Heritage Party
Ottawa West–Nepean	"Stibbe, David"	Green Party
Ottawa West–Nepean	"Vandenbeld, Anita"	Liberal
Ottawa West–Nepean	"Yeo, David"	People's Party - PPC
Oxford	"Chambers, Matthew"	NDP-New Democratic Party
Oxford	"MacKenzie, Dave"	Conservative
Oxford	"Martin, Wendy"	People's Party - PPC
Oxford	"Quinto, Elizabeth"	Liberal
Oxford	"Reid, Bob"	Green Party
Oxford	"Scovil, Allen"	Christian Heritage Party
Parkdale–High Park	"Danzinger, Wilfried Richard Alexander"	People's Party - PPC
Parkdale–High Park	"Gershuny, Lorne"	Marxist-Leninist
Parkdale–High Park	"Marchand-Lafortune, Diem"	Green Party
Parkdale–High Park	"Parker, Terry"	Marijuana Party
Parkdale–High Park	"Sanajko, Nestor"	Conservative
Parkdale–High Park	"Taylor, Paul"	NDP-New Democratic Party
Parkdale–High Park	"Virani, Arif"	Liberal
Parry Sound–Muskoka	"Aitchison, Scott"	Conservative
Parry Sound–Muskoka	"Fawcett, James"	National Citizens Alliance
Parry Sound–Muskoka	"Hay, Heather"	NDP-New Democratic Party
Parry Sound–Muskoka	"Mantha, Marc"	Green Party
Parry Sound–Muskoka	"Nicoyishakiye, Jovanie"	Liberal
Parry Sound–Muskoka	"Predie Jr, Daniel"	Independent
Parry Sound–Muskoka	"Tole, James"	People's Party - PPC
Perth–Wellington	"Baker, Wayne"	People's Party - PPC
Perth–Wellington	"Knight, Brendan"	Liberal
Perth–Wellington	"Kruchkywich, Kevin"	NDP-New Democratic Party
Perth–Wellington	"Nater, John"	Conservative
Peterborough–Kawartha	"Bowers, Robert M."	Independent
Peterborough–Kawartha	"Ferreri, Michelle"	Conservative
Peterborough–Kawartha	"Lachica, Joy"	NDP-New Democratic Party
Peterborough–Kawartha	"Lawton, Paul"	People's Party - PPC
Peterborough–Kawartha	"Monsef, Maryam"	Liberal
Peterborough–Kawartha	"White, Chanté"	Green Party
Pickering–Uxbridge	"Chisu, Corneliu"	People's Party - PPC
Pickering–Uxbridge	"Higdon, Eileen"	NDP-New Democratic Party
Pickering–Uxbridge	"Mantle, Jacob"	Conservative
Pickering–Uxbridge	"O'Connell, Jennifer"	Liberal
Renfrew–Nipissing–Pembroke	"Ainsworth, David"	People's Party - PPC
Renfrew–Nipissing–Pembroke	"Gallant, Cheryl"	Conservative
Renfrew–Nipissing–Pembroke	"Klietsch, Stefan"	Independent
Renfrew–Nipissing–Pembroke	"Lariviere, Michael"	Green Party
Renfrew–Nipissing–Pembroke	"Mills, Cyndi"	Liberal
Renfrew–Nipissing–Pembroke	"Primeau, Jodie"	NDP-New Democratic Party
